year,age,id,gunlaw,owngun,hunt
1972,23.0,1,favor,,
1972,70.0,2,favor,,
1972,48.0,3,favor,,
1972,27.0,4,favor,,
1972,61.0,5,favor,,
1972,26.0,6,oppose,,
1972,28.0,7,favor,,
1972,27.0,8,favor,,
1972,21.0,9,favor,,
1972,30.0,10,favor,,
1972,30.0,11,favor,,
1972,56.0,12,favor,,
1972,54.0,13,favor,,
1972,49.0,14,favor,,
1972,41.0,15,oppose,,
1972,54.0,16,oppose,,
1972,24.0,17,oppose,,
1972,62.0,18,oppose,,
1972,46.0,19,oppose,,
1972,21.0,20,favor,,
1972,57.0,21,,,
1972,58.0,22,oppose,,
1972,21.0,23,favor,,
1972,26.0,24,favor,,
1972,71.0,25,favor,,
1972,53.0,26,favor,,
1972,42.0,27,oppose,,
1972,42.0,28,oppose,,
1972,20.0,29,favor,,
1972,23.0,30,favor,,
1972,26.0,31,favor,,
1972,25.0,32,oppose,,
1972,26.0,33,favor,,
1972,78.0,34,favor,,
1972,21.0,35,favor,,
1972,27.0,36,favor,,
1972,58.0,37,oppose,,
1972,35.0,38,oppose,,
1972,58.0,39,oppose,,
1972,51.0,40,oppose,,
1972,76.0,41,favor,,
1972,53.0,42,favor,,
1972,39.0,43,favor,,
1972,64.0,44,favor,,
1972,50.0,45,favor,,
1972,27.0,46,oppose,,
1972,25.0,47,oppose,,
1972,49.0,48,favor,,
1972,40.0,49,oppose,,
1972,43.0,50,oppose,,
1972,46.0,51,oppose,,
1972,37.0,52,favor,,
1972,46.0,53,favor,,
1972,22.0,54,favor,,
1972,53.0,55,favor,,
1972,35.0,56,favor,,
1972,31.0,57,favor,,
1972,30.0,58,favor,,
1972,37.0,59,favor,,
1972,57.0,60,favor,,
1972,39.0,61,favor,,
1972,62.0,62,favor,,
1972,51.0,63,favor,,
1972,43.0,64,favor,,
1972,39.0,65,oppose,,
1972,52.0,66,oppose,,
1972,30.0,67,oppose,,
1972,47.0,68,favor,,
1972,31.0,69,favor,,
1972,25.0,70,favor,,
1972,45.0,71,favor,,
1972,30.0,72,favor,,
1972,68.0,73,favor,,
1972,63.0,74,favor,,
1972,19.0,75,favor,,
1972,23.0,76,favor,,
1972,46.0,77,favor,,
1972,55.0,78,favor,,
1972,22.0,79,favor,,
1972,55.0,80,favor,,
1972,44.0,81,oppose,,
1972,41.0,82,favor,,
1972,49.0,83,oppose,,
1972,28.0,84,favor,,
1972,21.0,85,oppose,,
1972,26.0,86,oppose,,
1972,31.0,87,favor,,
1972,28.0,88,favor,,
1972,26.0,89,oppose,,
1972,20.0,90,favor,,
1972,25.0,91,favor,,
1972,57.0,92,favor,,
1972,58.0,93,favor,,
1972,54.0,94,oppose,,
1972,35.0,95,favor,,
1972,40.0,96,oppose,,
1972,57.0,97,oppose,,
1972,64.0,98,favor,,
1972,34.0,99,favor,,
1972,25.0,100,oppose,,
1972,28.0,101,favor,,
1972,41.0,102,oppose,,
1972,36.0,103,oppose,,
1972,31.0,104,favor,,
1972,45.0,105,oppose,,
1972,74.0,106,favor,,
1972,64.0,107,favor,,
1972,23.0,108,favor,,
1972,27.0,109,favor,,
1972,42.0,110,favor,,
1972,47.0,111,favor,,
1972,26.0,112,favor,,
1972,34.0,113,favor,,
1972,52.0,114,favor,,
1972,24.0,115,favor,,
1972,36.0,116,favor,,
1972,25.0,117,favor,,
1972,46.0,118,favor,,
1972,54.0,119,favor,,
1972,27.0,120,oppose,,
1972,20.0,121,favor,,
1972,53.0,122,favor,,
1972,47.0,123,favor,,
1972,70.0,124,oppose,,
1972,69.0,125,favor,,
1972,49.0,126,favor,,
1972,29.0,127,,,
1972,48.0,128,favor,,
1972,67.0,129,oppose,,
1972,22.0,130,favor,,
1972,75.0,131,oppose,,
1972,38.0,132,favor,,
1972,46.0,133,favor,,
1972,63.0,134,oppose,,
1972,34.0,135,favor,,
1972,57.0,136,oppose,,
1972,22.0,137,favor,,
1972,46.0,138,oppose,,
1972,73.0,139,favor,,
1972,73.0,140,oppose,,
1972,53.0,141,oppose,,
1972,84.0,142,favor,,
1972,27.0,143,oppose,,
1972,69.0,144,oppose,,
1972,82.0,145,,,
1972,67.0,146,favor,,
1972,41.0,147,oppose,,
1972,72.0,148,oppose,,
1972,38.0,149,favor,,
1972,59.0,150,favor,,
1972,42.0,151,favor,,
1972,48.0,152,oppose,,
1972,59.0,153,favor,,
1972,39.0,154,favor,,
1972,49.0,155,favor,,
1972,33.0,156,favor,,
1972,53.0,157,favor,,
1972,30.0,158,favor,,
1972,25.0,159,favor,,
1972,36.0,160,favor,,
1972,30.0,161,oppose,,
1972,28.0,162,favor,,
1972,52.0,163,oppose,,
1972,44.0,164,oppose,,
1972,50.0,165,oppose,,
1972,38.0,166,oppose,,
1972,26.0,167,oppose,,
1972,28.0,168,oppose,,
1972,81.0,169,favor,,
1972,55.0,170,favor,,
1972,76.0,171,oppose,,
1972,29.0,172,oppose,,
1972,19.0,173,oppose,,
1972,76.0,174,favor,,
1972,61.0,175,favor,,
1972,26.0,176,oppose,,
1972,39.0,177,favor,,
1972,19.0,178,favor,,
1972,26.0,179,favor,,
1972,21.0,180,favor,,
1972,45.0,181,oppose,,
1972,27.0,182,favor,,
1972,76.0,183,oppose,,
1972,63.0,184,favor,,
1972,52.0,185,favor,,
1972,65.0,186,favor,,
1972,59.0,187,oppose,,
1972,26.0,188,favor,,
1972,41.0,189,favor,,
1972,56.0,190,favor,,
1972,62.0,191,oppose,,
1972,29.0,192,favor,,
1972,25.0,193,favor,,
1972,41.0,194,oppose,,
1972,21.0,195,favor,,
1972,49.0,196,favor,,
1972,38.0,197,favor,,
1972,50.0,198,favor,,
1972,43.0,199,oppose,,
1972,32.0,200,oppose,,
1972,55.0,201,favor,,
1972,27.0,202,favor,,
1972,56.0,203,favor,,
1972,48.0,204,oppose,,
1972,56.0,205,favor,,
1972,44.0,206,favor,,
1972,25.0,207,favor,,
1972,32.0,208,oppose,,
1972,33.0,209,oppose,,
1972,48.0,210,,,
1972,45.0,211,favor,,
1972,45.0,212,favor,,
1972,72.0,213,favor,,
1972,45.0,214,oppose,,
1972,70.0,215,oppose,,
1972,31.0,216,oppose,,
1972,20.0,217,oppose,,
1972,22.0,218,favor,,
1972,63.0,219,,,
1972,70.0,220,favor,,
1972,68.0,221,favor,,
1972,43.0,222,oppose,,
1972,53.0,223,favor,,
1972,44.0,224,favor,,
1972,37.0,225,favor,,
1972,55.0,226,favor,,
1972,52.0,227,favor,,
1972,64.0,228,oppose,,
1972,,229,favor,,
1972,64.0,230,favor,,
1972,27.0,231,oppose,,
1972,28.0,232,oppose,,
1972,22.0,233,favor,,
1972,61.0,234,favor,,
1972,82.0,235,favor,,
1972,22.0,236,oppose,,
1972,30.0,237,favor,,
1972,29.0,238,favor,,
1972,60.0,239,favor,,
1972,39.0,240,favor,,
1972,21.0,241,oppose,,
1972,56.0,242,oppose,,
1972,72.0,243,favor,,
1972,61.0,244,favor,,
1972,71.0,245,favor,,
1972,56.0,246,,,
1972,71.0,247,oppose,,
1972,48.0,248,oppose,,
1972,43.0,249,favor,,
1972,61.0,250,favor,,
1972,70.0,251,favor,,
1972,48.0,252,favor,,
1972,34.0,253,favor,,
1972,19.0,254,favor,,
1972,52.0,255,favor,,
1972,30.0,256,oppose,,
1972,60.0,257,favor,,
1972,50.0,258,oppose,,
1972,47.0,259,favor,,
1972,50.0,260,favor,,
1972,68.0,261,favor,,
1972,50.0,262,favor,,
1972,21.0,263,favor,,
1972,72.0,264,,,
1972,52.0,265,favor,,
1972,32.0,266,favor,,
1972,52.0,267,favor,,
1972,60.0,268,favor,,
1972,32.0,269,favor,,
1972,60.0,270,favor,,
1972,80.0,271,favor,,
1972,58.0,272,favor,,
1972,36.0,273,favor,,
1972,31.0,274,favor,,
1972,30.0,275,favor,,
1972,63.0,276,,,
1972,34.0,277,favor,,
1972,29.0,278,favor,,
1972,36.0,279,favor,,
1972,39.0,280,favor,,
1972,73.0,281,favor,,
1972,38.0,282,oppose,,
1972,55.0,283,favor,,
1972,30.0,284,favor,,
1972,44.0,285,favor,,
1972,43.0,286,favor,,
1972,38.0,287,favor,,
1972,44.0,288,favor,,
1972,75.0,289,favor,,
1972,43.0,290,,,
1972,43.0,291,favor,,
1972,27.0,292,favor,,
1972,58.0,293,favor,,
1972,45.0,294,favor,,
1972,31.0,295,oppose,,
1972,23.0,296,favor,,
1972,69.0,297,favor,,
1972,35.0,298,oppose,,
1972,43.0,299,favor,,
1972,56.0,300,favor,,
1972,36.0,301,favor,,
1972,47.0,302,favor,,
1972,29.0,303,favor,,
